Client Name,Innocean Worldwide,Ops Study Doc,,,,,
Implementation Rep,Anurag Yaparla,Ops Study Doc,,,,,
No of users:,202.0,,,,,,
Decision Maker,Ugra Malik,,,,,,
POC contact number,Sudhakar 9990093663,,,,,,
Their Organization Workflow,Desk Management + VMS + Meeting Room,,,,,,
Key Pain Areas from previous system,Manual System,,,,,,
Data migration,No,,,,,,
Promises/enhancements on features promised in demo,Facial Recognition Access Control Integration,,,,,,
Timelines to setup & Go-Live,(3/4 Weeks),,,,,,
,,,,`,,,
,,,,,,,
Level 1,Level 2,Level 3,Status,Reason if not required,Comments if any,"Path (JIRA Ticket, Config Value etc)",
Integrations,Employee onboarding,API,Not required,Manual Upload,Keka HR Integration may be requested without charges -To be discussed with Ashutosh Jakorta,,
,SSO Integration,Azure AD,Not required,,,,
,Access card integration,RSBarcodes,Completed,Facial Recognition Integration,,,
,Sign-In preference,Direct check-in,Completed,200 Mtr geofence,,,
,,Attendance Tracking,Not required,,,,
,,,,,,,
,,,,,,,
,Meeting Rooms Integrations,Native Setup for meeting rooms,Completed,,,,
,,Meeting Room Addition,Completed,,,,
,,Amenities,Completed,,,,
,Restrictions/Parameters,,,,,,
,,,,,,,
,,,,,,,
,Desk Management,Floor Plan PDF,Completed,,,,
,,Nomenclature/Seat Numbering,Completed,,,,
,,Office and Floor Name,Completed,,,,
,,Wayfinding Deployment,Not required,Not Part of scope,,,
,,Geo Restrictions,Completed,,,,
,,Geocode,Completed,,,,
,,Shifts Creation,Completed,,,,
,,Shift Categories,Completed,,,,
,,Desk Allocation,Completed,,,,
,,Remote Bookings,Completed,,,,
,,,,,,,
,,,,,,,
,(Global and organizational settings),,Completed,,,,
General Setup,,Company logo configuration,Completed,,,,
,,Users & Roles Creation along with mobile access,Completed,,,,
,,Hierarchy & Team Creation,Completed,,,,
,,Global Booking Policies,Completed,,,,
,,Schedule Edit Cutoff,Completed,,4 hrs,,
,,Schedule Cancel Cutoff,Completed,,4 hrs,,
,,Booking Logout Cutoff,Completed,,0.0,,
,,Booking Edit Cutoff,Completed,,0.0,,
,,No Show Policy,Not required,,,,
,,Desk Auto Release,Completed,,,,
,,Auto Absent,Completed,,,,
,,Auto Absent Timing,Completed,,2 hours,,
,,Advance Booking Restriction,Completed,,30 days,,
,,Desk Amenities,Completed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Template Customization,,,,,,
,,,,,,,
Please configure the below to drive usage of the account as per the flow of the account:,Reports,,Completed,,,,
,Other Features:,,Completed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Trainings:,,,,,,,
,Desk Management Best Practices (Admin),,,,,,
,,Primary Method of Allocation,Completed,,,,
,,Editing Allocation,Completed,,,,
,,Time Based Allocation,Not required,,,,
,,Desk Tags,Not required,,,,
,,Bulk Uploads(Specify which ones),Completed,,,,
,,,,,,,
,,,,,,,
,Booking Best Practices (User),Search for Employee,Completed,,,,
,,Wayfinding,Not required,Not part of scope,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Visitor Management Best Practices (Admin),,,,,,
,,Check In Method,Not required,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Email templates:,,,,,,,
,Q&A 1,,Completed,,,,
,Q&A 2,,Completed,,,,
,,,,,,,
Important points to be noted while handing over the client to customer success team:,,,,,,,
,,,,,,,
Issues provided by the client from the time of implementation to hand-over,,,,,,,
Requirements provided while onboarding (mark in green if this requirement is completed. If not red if not completed/cannot implement it and yelllow if pending/taken as requirement),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
