Client Name,Piraeus Bank,Ops Study Doc,,,,,
Implementation Rep,Anurag Yaparla,SOW Doc,,,,,
No of users:,1400.0,,,,,,
Decision Maker,Makantassis Dimitris,,,,,,
POC contact number,NA,,,,,,
Their Organization Workflow,Desk Management + VMS + Meeting Room,,,,,,
Key Pain Areas from previous system,,,,,,,
Data migration,Yes,,,,,,
Promises/enhancements on features promised in demo,"Reports Customization, Email Templates",,,,,,
Timelines to setup & Go-Live,(3/4 Weeks),,,,,,
,,,,`,,,
,,,,,,,
Level 1,Level 2,Level 3,Status,Reason if not required,Comments if any,"Path (JIRA Ticket, Config Value etc)",
Integrations,Employee onboarding,SCIM,Completed,,,,
,SSO Integration,Azure AD,Completed,,,,
,Access card integration,"Gallagher,Speedgates etc",Not required,,,,
,Sign-In preference, No check-in,Not required,,,,
,,Attendance Tracking,Not required,,,,
,,,,,,,
,,,,,,,
,Meeting Rooms Integrations,Native Setup for meeting rooms,Completed,,,,
,,Meeting Room Addition,Completed,,,,
,,Amenities,Completed,,,,
,Restrictions/Parameters,,,,,,
,,,,,,,
,,,,,,,
,Desk Management,Floor Plan PDF,Completed,,,,
,,Nomenclature/Seat Numbering,Completed,,,,
,,Office and Floor Name,Completed,,,,
,,Wayfinding Deployment,Not required,,,,
,,Geo Restrictions,Not required,,,,
,,Geocode,Not required,,,,
,,Shifts Creation,Not required,12 AM - 11:45 PM ,Not visible to employees,,
,,Shift Categories,Not required,,,,
,,Desk Allocation,Completed,,,,
,,Remote Bookings,Not required,,,,
,,,,,,,
,,,,,,,
,(Global and organizational settings),,Completed,,,,
General Setup,,Company logo configuration,Completed,,,,
,,Users & Roles Creation along with mobile access,Completed,,,,
,,Hierarchy & Team Creation,Completed,,,,
,,Global Booking Policies,Completed,,,,
,,Schedule Edit Cutoff,Completed,,-24.0,,
,,Schedule Cancel Cutoff,Completed,,-24.0,,
,,Booking Logout Cutoff,Completed,,-24.0,,
,,Booking Edit Cutoff,Completed,,-24.0,,
,,No Show Policy,Not required,,,,
,,Desk Auto Release,Not required,,,,
,,Auto Absent,Not required,,,,
,,Auto Absent Timing,Not required,,,,
,,Advance Booking Restriction,Completed,,15 days,,
,,Desk Amenities,Completed,,,,
,,Parking Tags,Completed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Template Customization,,,,,,
,,,,,,,
Please configure the below to drive usage of the account as per the flow of the account:,Reports,,Completed,,,,
,Other Features:,,Completed,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Trainings:,,,,,,,
,Desk Management Best Practices (Admin),,,,,,
,,Primary Method of Allocation,Completed,,,,
,,Editing Allocation,Completed,,,,
,,Time Based Allocation,Not required,,,,
,,Desk Tags,Not required,,,,
,,Bulk Uploads(Specify which ones),Completed,,,,
,,,,,,,
,,,,,,,
,Booking Best Practices (User),Search for Employee,Completed,,,,
,,Wayfinding,Not required,Not part of scope,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Parking Management Best Practices (Admin),,,,,,
,,Check In Method,Not required,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Email templates:,,,,,,,
,Q&A 1,,Completed,,,,
,Q&A 2,,Completed,,,,
,,,,,,,
Important points to be noted while handing over the client to customer success team:,,,,,,,
,,,,,,,
Issues provided by the client from the time of implementation to hand-over,,,,,,,
Requirements provided while onboarding (mark in green if this requirement is completed. If not red if not completed/cannot implement it and yelllow if pending/taken as requirement),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
